track_unique_id,popularity_target
3,1
8,1
23,1
24,1
31,0
35,0
39,0
44,1
53,0
54,1
61,1
70,1
75,1
87,1
88,0
90,0
91,0
95,0
97,0
98,0
101,1
102,1
103,1
106,1
110,1
114,1
115,1
122,1
124,1
127,1
128,1
134,0
135,1
137,0
139,0
140,0
142,1
144,1
147,0
149,0
151,1
156,1
158,1
161,1
164,1
165,1
171,1
172,1
176,1
179,1
180,1
182,1
186,1
190,1
194,1
195,1
196,1
198,0
199,0
201,1
213,1
214,1
219,1
221,1
222,1
226,0
239,1
250,1
253,0
256,1
264,1
265,1
266,1
267,0
268,1
270,0
274,1
277,1
278,1
288,1
291,1
295,1
297,1
300,0
304,1
305,1
309,1
311,1
312,1
313,1
316,1
317,1
323,1
324,0
328,1
333,0
342,1
347,0
351,1
353,1
355,0
356,1
362,0
365,0
369,1
373,1
377,1
378,1
379,0
380,1
383,1
387,1
398,0
399,1
401,0
402,1
406,0
407,1
410,1
416,1
419,1
422,1
423,1
428,1
436,1
437,1
438,1
439,1
441,1
444,0
447,0
449,1
452,1
454,1
457,1
458,1
460,1
462,1
466,1
467,1
468,0
470,1
473,1
474,1
476,1
478,0
481,1
484,1
487,0
491,1
494,0
499,0
502,1
504,1
505,1
510,0
512,1
514,1
516,1
519,1
524,1
525,1
536,1
543,0
546,1
549,1
550,1
561,0
562,1
563,1
564,1
572,1
573,1
575,1
577,1
578,1
581,1
582,1
585,1
590,0
593,1
598,0
601,1
609,1
612,1
614,1
616,1
618,1
621,1
624,1
625,1
627,1
628,0
629,1
630,1
632,1
646,0
647,0
651,1
652,1
653,1
655,0
662,1
664,1
669,1
672,1
673,0
674,0
675,0
679,0
680,1
681,0
689,1
690,0
695,0
698,0
700,1
701,1
702,0
708,1
712,1
713,1
716,1
718,1
730,0
742,0
752,0
756,1
758,1
759,1
773,0
775,0
777,1
779,0
782,1
784,0
787,1
788,0
790,1
793,0
796,1
800,1
802,1
803,1
804,1
807,1
808,1
811,1
812,1
813,1
820,1
821,0
830,1
831,0
833,1
838,1
842,1
852,1
856,1
857,1
859,1
862,1
866,1
871,0
873,1
876,0
880,0
883,1
884,0
885,1
886,0
896,1
897,1
902,0
905,1
912,1
920,1
921,0
923,1
926,0
928,1
930,1
933,1
936,1
938,1
940,1
943,1
945,1
948,1
949,0
950,1
951,1
953,1
954,1
955,1
957,1
960,1
962,1
963,1
964,1
965,1
966,1
967,1
970,1
979,1
980,0
985,0
986,1
989,1
991,1
996,1
1002,1
1003,1
1005,0
1008,0
1018,0
1022,0
1025,0
1028,1
1029,0
1030,0
1032,0
1037,0
1040,1
1041,0
1043,0
1045,0
1047,1
1053,1
1054,0
1057,0
1059,0
1060,0
1061,0
1064,0
1070,1
1077,0
1078,0
1090,1
1091,1
1099,0
1107,0
1108,0
1116,0
1118,0
1121,0
1122,0
1126,0
1131,0
1137,0
1139,0
1141,0
1143,0
1146,0
1152,1
1154,0
1155,0
1162,0
1165,1
1166,0
1169,0
1171,0
1173,0
1175,1
1176,0
1181,0
1182,0
1183,1
1185,0
1189,0
1190,0
1193,0
1196,0
1197,0
1199,0
1202,0
1203,0
1205,0
1213,0
1217,1
1219,0
1220,0
1221,0
1224,1
1226,0
1227,0
1228,0
1230,0
1231,0
1235,1
1241,0
1246,0
1247,0
1248,0
1253,0
1255,1
1256,1
1260,0
1261,0
1272,0
1273,0
1277,0
1278,1
1284,0
1285,0
1288,0
1290,0
1291,0
1292,1
1295,0
1297,0
1309,0
1315,0
1317,1
1318,1
1322,0
1325,0
1326,0
1330,0
1332,0
1334,0
1339,0
1343,0
1348,0
1349,1
1356,0
1361,0
1364,0
1366,0
1368,0
1370,0
1372,0
1380,0
1384,0
1385,1
